,id,term,ml_knowledge,coding_knowledge,stats_knowledge,understand_level_crispdm,motivated_level_ml,motivated_level_coding,motivated_level_stats,learning_process_coding,understand_level_hole_workshop,appropriate_time_hole_workshop,appropriate_volume_hole_workshop,difficult_points_hole_workshop,benefit_points_hole_workshop,curious_points_hole_workshop,comments
1,2,1,2,2,1,4,5,4,5,8,8,5,5,わかりやすかったです。,"機械学習の全体像をつかむことができたのがよかったです。
",解析テーマの設定方法（ビジネス理解）;Pythonプログラムのコードの意味;,"丁寧なレクチャーをありがとうございました。
大学時代に学生実験でC+を少し使ったことがあるのですが、難しくて挫折した経験があり、プログラミングにはずっと苦手意識がありました。
PythonはC+よりもずっと使いやすそうですし、何ができるのか今後もっと学んでいきたいと思いました。"
2,3,1,1,1,1,4,4,5,4,0,9,6,5,"プログラミングの知識があれば、より理解が深まると思った。
実際に手で入力してみても良いと思った。",MI解析OJTの復習になった。,Pythonプログラムのコードの意味;,Pythonを使って、他にどんなことができるのか興味が湧いた。
3,4,1,1,1,1,4,4,4,4,7,7,7,5,おおよその流れを理解させるワークショップかと思います。プログラミングの理解、指導は次回以降かと思いますが、年齢的に、また仕事の日常的に扱うことは難しいので習得は難儀と感じました。,立場的にプログラミングの理解、作成、データサイエンティストとなることは不要（無理）と感じますが、みなさんが何をしているか、職制として何をさせようとしているかの理解が進んで良かったと思います。,作成したモデルを評価する部分（モデル評価）;,時間が合えば、次回以降も受講考えたいです。
4,5,1,2,1,1,5,5,5,5,2,8,5,3,プログラムの意味、ライブラリの中身が理解できておらずとっつき難いと感じた。,"Pythonや機械学習に触れるとっかかりとなると思った
さらに自学するための教材を紹介してもらえると嬉しい",Pythonプログラムのコードの意味;解析テーマの設定方法（ビジネス理解）;データの可視化の部分（データ理解）;機械学習モデル構築の部分（モデル作成）;作成したモデルを評価する部分（モデル評価）;その他（AWSの環境や統計的な分野など）;,"機械学習にとっつきづらいと感じたので、とっかかりになったと思う。
今回、学習者が増えてきたら、自学する助けで質問会や質問チャットなども計画していただければ嬉しい。"
6,7,2,1,1,1,3,3,2,3,0,6,5,7,短時間だったので、プログラミングの詳細までを理解することができなかった。,MI解析の流れを理解することができた。,Pythonプログラムのコードの意味;機械学習モデル構築の部分（モデル作成）;,"適宜リアクションを取り、確認していただき良かった。
ただ、オンラインだと、分からない時に聞きにくさがあったので、講義室で受講してみたいと思った。"
7,1,2,1,1,1,3,4,4,4,2,5,4,4,自身で適切な取捨選択をしながらプログラムを組む難しさ。,入門的な知識を知ることが出来たので、初回の触りの位置づけとしては親切なワークショップだったと考えている。,機械学習モデル構築の部分（モデル作成）;データの可視化の部分（データ理解）;,
8,2,2,1,1,1,4,4,4,4,6,7,4,5,今回、ほとんどDXの方々がすでに作成済みのプログラムだったので、自分で実際に動かすときに、プログラムのどの部分を自分で作成する必要がある箇所なのかが分かりにくかった。（今後のセミナーで教わる部分にもあたるのかな、とも思っておりました。）,ソフト上で何が行われているのかを理解することができた。,Pythonプログラムのコードの意味;機械学習モデル構築の部分（モデル作成）;作成したモデルを評価する部分（モデル評価）;,自分のデータを活用するには、かなり経験とDXの方々のご支援が必要だと感じました。今後ともいろいろとご教示いただけますと幸いです。
9,3,2,2,3,2,5,4,3,3,10,8,5,5,内容は非常に効率的で内容・説明も非常にわかりやすいものでした。,理論的な部分は全てパッケージ（モジュール）になっているので、わかりやすくすぐに実践しやすい形になっているのは大変良いと思います。技術屋としてはどうしてもモジュールの中身が気になりますが。,Pythonプログラムのコードの意味;,今回、講習で用意して頂いた環境は、今後本格的に使用していく場合には新たに構築が必要なのでしょうか？
10,4,2,1,1,1,2,4,4,4,8,9,5,5,,目的変数と説明変数についてや、それらを学習データと評価データに分けてどのくらい精度が高いか評価するという流れの説明が非常に分かりやすく、実際にMIを使いたい場合にどのようなデータを集めたら良いか考えるのに役立ちそうだと思いました。,機械学習モデル構築の部分（モデル作成）;作成したモデルを評価する部分（モデル評価）;,説明がとても分かりやすくて良かったです。非常に短いコードでヒートマップや関数を出せるのにも驚きました。自分で欲しい情報を出せるようになるには道のりは長いですが、使いこなせるようになりたいと思いました。
11,5,2,1,1,1,5,4,4,4,7,9,4,5,丁寧に説明いただき、よくわかりました。,"説明変数の選択について。
相関行列のヒートマップにおいて相関がある項目を説明変数にすることが効果的だと学べました。",機械学習モデル構築の部分（モデル作成）;,事前にAWSにログインし、ワークシップ環境に接続しておくことが少し前のメールでのお知らせのみであり、参加者全員に周知できていなかったように感じました。ただでさえ、時間を絞ってのワークショップでしたので、前日にリマインドメールなどあると開始もスムーズで内容の濃いものになると思いました。
13,7,2,2,1,1,5,5,3,5,10,8,5,5,,JupyterノートブックとPythonの関係性(位置づけ)やPythonの使い方が分かりやすく学べて良かったです。,,"初心者にも分かりやすく、次回も参加したいと思えるような内容でした。
講義を開催いただき、ありがとうございました。"
15,9,2,1,1,1,4,5,5,5,7,8,5,5,,実際に動かしてみることでイメージがつかみやすかったです。,Pythonプログラムのコードの意味;,おすすめの参考書の情報があると嬉しいです。
16,10,2,2,2,1,4,5,4,5,8,8,6,3,,実際に操作することでまずはイメージをつかむことができてよかったです。,機械学習モデル構築の部分（モデル作成）;データの可視化の部分（データ理解）;,
18,12,3,2,2,1,4,5,5,5,10,9,5,5,特になし,データ解析の手法・手順を学べた。,Pythonプログラムのコードの意味;機械学習モデル構築の部分（モデル作成）;,
19,13,3,2,2,2,5,5,2,5,10,7,7,7,Python？等のプログラムの部分は理解が難しかったです。,"webサイトで気軽にプログラムを組めることを知り、驚きました。
専用のアプリケーションファイルか何かをインストールする必要があるかと思っていました。",データの可視化の部分（データ理解）;機械学習モデル構築の部分（モデル作成）;,
20,14,3,1,1,1,4,4,4,5,3,7,5,5,,様々なツールを活用することで比較的簡単に色々な解析ができることがわかってよかったです。,作成したモデルを評価する部分（モデル評価）;データの可視化の部分（データ理解）;,変数の設定や解析されたデータをどう捉えるかということが機械学習を上手く活用するためにはやはり重要であるということを改めて感じました。
23,17,3,1,1,1,3,4,2,4,0,7,4,7,時間の関係上仕方がない部分ですが、プログラムのコードがもう少し分かると、より理解が深まったと思います。,機械学習のざっくりとしたイメージを理解することができました。,作成したモデルを評価する部分（モデル評価）;Pythonプログラムのコードの意味;,"機械学習のイメージを理解するのに適した内容でした。
機械学習を利用する際に最終的に気になるモデルの評価や予想について、もう少しボリュームを割いていただけると良いかもしれません。
Teamsの画面と自身のAWSを、両方1画面で見ることができず、少し操作がしにくかったです。"
24,18,3,2,4,2,5,5,5,5,5,10,5,5,,,作成したモデルを評価する部分（モデル評価）;機械学習モデル構築の部分（モデル作成）;,
25,19,3,2,2,3,3,4,4,4,8,8,5,5,特になし,AWSの動かし方等はイメージできた。,Pythonプログラムのコードの意味;機械学習モデル構築の部分（モデル作成）;その他（AWSの環境や統計的な分野など）;,
26,20,4,1,1,1,3,5,5,5,0,7,5,5,,,,
27,21,4,2,1,1,4,4,4,4,8,10,5,3,,Pythonでできることのイメージができた,Pythonプログラムのコードの意味;,
28,22,4,1,2,1,5,4,4,4,2,10,5,5,丁寧で分かりやすい解説だったため、特にありませんでした。,機械学習について、これまでぼんやりしたイメージしか無かったが、一連の流れが理解できました。,Pythonプログラムのコードの意味;,使いこなせば非常に強力なツールになることが理解できました。今後もワークショップ等が開催される機会があれば参加したいと思います。
